City,Cloudiness,Country,Date,Max Temp,Wind Speed,Lat,Lng,Humidity
Cidreira,0,BR,1524618518,71.46,8.3,-30.17,-50.22,91
Jinchang,0,CN,1524618518,37.89,5.5,38.52,102.19,72
Cape Town,36,ZA,1524618518,57.33,6.35,-33.93,18.42,100
Hobart,40,AU,1524614400,64.4,9.17,-42.88,147.33,52
Victoria,75,BN,1524612600,77,3.36,5.28,115.24,94
Airai,0,TL,1524618519,76.86,2.21,-8.93,125.41,52
Batagay-Alyta,80,RU,1524618520,22.14,5.79,67.8,130.41,84
Pisco,36,PE,1524614400,69.8,16.11,-13.71,-76.2,77
Beloha,12,MG,1524618520,67.14,9.04,-25.17,45.06,85
Qasigiannguit,88,GL,1524617400,24.8,4.7,68.82,-51.19,92
Mataura,24,NZ,1524618521,56.79,10.76,-46.19,168.86,83
Torbay,40,CA,1524614400,42.8,17.22,47.66,-52.73,48
New Norfolk,40,AU,1524614400,64.4,9.17,-42.78,147.06,52
East London,88,ZA,1524618522,69.57,8.81,-33.02,27.91,100
Jamestown,76,AU,1524618522,59.85,4.38,-33.21,138.6,96
Ushuaia,75,AR,1524614400,46.4,17.22,-54.81,-68.31,70
Castro,48,CL,1524618523,43.56,2.89,-42.48,-73.76,99
Watertown,1,US,1524616500,50,20.8,44.9,-97.12,57
Bangassou,36,CF,1524618523,76.5,3.22,4.74,22.82,82
Husavik,0,CA,1524618523,46.26,3.78,50.56,-96.99,68
Rocha,92,UY,1524618524,66.15,11.27,-34.48,-54.34,96
Orlovskiy,88,RU,1524618524,49.32,5.91,46.87,42.05,59
Sucua,24,EC,1524618524,68.22,2.55,-2.46,-78.17,85
Barrow,100,AR,1524618524,55.08,12.44,-38.31,-60.23,94
Dingle,8,PH,1524618525,80.28,8.03,11,122.67,89
Port Lincoln,24,AU,1524618525,63,6.62,-34.72,135.86,99
Mahebourg,40,MU,1524614400,75.2,3.36,-20.41,57.7,88
Naliya,0,IN,1524618526,72.54,9.08,23.26,68.83,93
Corinto,12,BR,1524618526,71.1,9.82,-18.36,-44.46,73
Hithadhoo,88,MV,1524618526,85.59,16.31,-0.6,73.08,99
Kununurra,0,AU,1524614400,84.2,3.36,-15.77,128.74,39
Hilo,90,US,1524615060,78.8,14.99,19.71,-155.08,69
Puerto Ayora,75,EC,1524614400,78.8,10.29,-0.74,-90.35,83
Bethel,90,US,1524614880,41,26.4,60.79,-161.76,75
Haines Junction,48,CA,1524618528,35.19,10.38,60.75,-137.51,79
Caravelas,76,BR,1524618528,77.04,15.79,-17.73,-39.27,100
Rikitea,92,PF,1524618529,79.11,22.17,-23.12,-134.97,100
Alugan,76,PH,1524618529,80.82,5.06,12.22,125.48,100
Teya,40,MX,1524617040,73.4,2.1,21.05,-89.07,88
Busselton,12,AU,1524618530,59.49,4.56,-33.64,115.35,100
Port Elizabeth,90,US,1524617700,57.2,12.75,39.31,-74.98,93
Provideniya,90,RU,1524614400,35.6,15.66,64.42,-173.23,69
Lavrentiya,88,RU,1524618531,32.22,26.19,65.58,-170.99,95
Upernavik,88,GL,1524618531,26.46,5.06,72.79,-56.15,96
Mount Isa,0,AU,1524612600,78.8,3.36,-20.73,139.49,24
Souillac,0,FR,1524616200,53.6,3.36,45.6,-0.6,81
Dzhebariki-Khaya,20,RU,1524618532,27.99,5.79,62.22,135.8,55
Buala,88,SB,1524618578,81.36,8.81,-8.15,159.59,97
Mount Gambier,80,AU,1524618578,59.76,4.23,-37.83,140.78,93
Richmond,1,CA,1524616500,73.4,4.7,49.16,-123.14,58
College,20,US,1524614280,48.2,14.99,64.86,-147.8,42
Barra Patuca,44,HN,1524618579,82.26,11.05,15.8,-84.28,87
Nong Chik,24,TH,1524618579,76.77,3.38,6.84,101.18,93
Pitiquito,76,MX,1524618580,89.19,6.58,30.68,-112.05,9
Kargat,92,RU,1524618580,47.79,3.56,55.19,80.28,99
Chokurdakh,0,RU,1524618580,12.6,13.85,70.62,147.9,100
Yuci,88,CN,1524616200,57.2,2.24,37.68,112.73,76
Bandrele,0,YT,1524614400,80.6,8.05,-12.91,45.19,74
Port Blair,68,IN,1524618581,83.97,8.41,11.67,92.75,100
Punta Arenas,75,CL,1524618000,44.6,6.93,-53.16,-70.91,81
Agua Dulce,5,MX,1524617640,80.6,11.41,18.14,-94.15,88
Champerico,20,MX,1524618583,81.36,3.27,16.38,-93.6,60
Seoul,0,KR,1524616200,57.2,5.82,37.57,126.98,30
Faya,20,SA,1524614400,62.6,5.82,18.39,42.45,77
Berdigestyakh,48,RU,1524618583,23.94,6.06,62.1,126.7,65
Tukums,90,LV,1524615600,46.4,8.05,56.97,23.17,93
Bambous Virieux,40,MU,1524614400,75.2,3.36,-20.34,57.76,88
Constitucion,75,MX,1524613440,82.4,2.24,23.99,-104.67,12
Saint-Philippe,1,CA,1524616500,64.4,3.36,45.36,-73.48,20
Vardo,90,US,1524618000,53.6,8.05,39.62,-77.74,93
Chuy,92,UY,1524618585,70.11,13.85,-33.69,-53.46,95
Sitka,92,US,1524618585,56.97,14.79,37.17,-99.65,56
Sept-Iles,90,CA,1524614400,39.2,3.83,50.2,-66.38,64
Vernon,1,CA,1524614400,69.8,2.21,50.27,-119.27,40
Hermanus,36,ZA,1524618586,44.82,2.77,-34.42,19.24,92
Ikwiriri,0,TZ,1524618587,72,3.11,-7.96,38.99,96
Thompson,75,CA,1524614400,44.6,10.29,55.74,-97.86,45
Lompoc,12,US,1524617760,71.6,11.41,34.64,-120.46,76
Banepa,20,NP,1524613800,59,2.55,27.63,85.52,77
Carnarvon,12,ZA,1524618588,45.81,6.13,-30.97,22.13,75
Tsaratanana,76,MG,1524618588,66.42,5.35,-16.8,47.65,87
